"","run.code","run.cor","n.Rcrowd","n.Rdisplace","prop.Rcrowd","prop.Rdisplace","n.Rcrowd.dyads","n.Rdisplace.dyads","Rcrowd.density","Rdisplace.density","Rcrowd.linearity","Rcrowd.steepness","Rcrowd.prunk.pu","Rcrowd.prunk.dyads","Rcrowd.transi.Pt","Rcrowd.transi.ttri","Rdisp.linearity","Rdisp.steepness","Rdisp.prunk.pu","Rdisp.prunk.dyads","Rdisp.transi.Pt","Rdisp.transi.ttri"
"Pt","run001",0.0725677668271006,684,531,0.562962962962963,0.437037037037037,148,134,0.352380952380952,0.319047619047619,0.3844,0.275664639183549,0.367,210,0.947,0.788,0.3571,0.262357967718112,0.4,210,0.952,0.809
"Pt1","run002",0.0314706621167323,671,544,0.552263374485597,0.447736625514403,143,141,0.34047619047619,0.335714285714286,0.3662,0.254878418393606,0.395,210,0.954,0.816,0.3584,0.261649270288356,0.4,210,0.971,0.886
"Pt2","run003",0.112146363634349,634,581,0.521810699588477,0.478189300411523,146,142,0.347619047619048,0.338095238095238,0.3766,0.282133042754505,0.371,210,0.949,0.796,0.3656,0.254799654554839,0.386,210,0.938,0.751
"Pt3","run004",0.095699329765057,625,590,0.51440329218107,0.48559670781893,143,142,0.34047619047619,0.338095238095238,0.3578,0.265791402054521,0.39,210,0.947,0.788,0.3877,0.275345559121943,0.376,210,0.941,0.765
"Pt4","run005",0.0582293314472285,546,669,0.449382716049383,0.550617283950617,144,139,0.342857142857143,0.330952380952381,0.3506,0.270604651082612,0.362,210,0.942,0.769,0.3695,0.267005065986608,0.4,210,0.964,0.857
"Pt5","run006",0.0990176170728649,550,665,0.452674897119342,0.547325102880658,147,144,0.35,0.342857142857143,0.3214,0.262096021108498,0.376,210,0.93,0.718,0.4032,0.266166481291398,0.381,210,0.966,0.862
"Pt6","run007",-0.0451040419974307,709,506,0.583539094650206,0.416460905349794,124,154,0.295238095238095,0.366666666666667,0.3565,0.225516153801004,0.467,210,0.954,0.814,0.3818,0.269022077824258,0.348,210,0.952,0.808
"Pt7","run008",0.0624779181390836,611,604,0.502880658436214,0.497119341563786,135,153,0.321428571428571,0.364285714285714,0.4188,0.277829400813176,0.4,210,0.993,0.972,0.3701,0.265995330236316,0.357,210,0.943,0.774
"Pt8","run009",0.077774469078692,581,634,0.478189300411523,0.521810699588477,142,137,0.338095238095238,0.326190476190476,0.3773,0.26814402993868,0.386,210,0.947,0.788,0.326,0.250715290104102,0.405,210,0.912,0.648
"Pt9","run010",0.135229460978954,619,596,0.509465020576132,0.490534979423868,145,146,0.345238095238095,0.347619047619048,0.3773,0.27864718924994,0.376,210,0.953,0.811,0.3429,0.268791783466835,0.381,210,0.956,0.823
"Pt10","run011",0.200215238151357,693,522,0.57037037037037,0.42962962962963,144,147,0.342857142857143,0.35,0.3877,0.285492771803995,0.362,210,0.918,0.671,0.3786,0.288120714100891,0.362,210,0.962,0.85
"Pt11","run012",0.103965411078584,557,658,0.45843621399177,0.54156378600823,134,151,0.319047619047619,0.35952380952381,0.3104,0.251332750793815,0.424,210,0.966,0.863,0.4383,0.291698095925481,0.348,210,0.956,0.823
"Pt12","run013",-0.00903218085998515,635,580,0.522633744855967,0.477366255144033,133,139,0.316666666666667,0.330952380952381,0.3247,0.260105674814317,0.414,210,0.962,0.847,0.3201,0.233079187449642,0.424,210,0.909,0.636
"Pt13","run014",0.17906441037058,616,599,0.506995884773663,0.493004115226337,142,149,0.338095238095238,0.354761904761905,0.3688,0.273827765973844,0.376,210,0.933,0.733,0.3597,0.286473437061507,0.357,210,0.942,0.77
